team,ft_rate,team_key,three_rate,two_rate,two_pt_pct,three_pt_pct,efg_pct,pace,off_rating,def_rating,turnover_rate,ast_rate,orb_rate,net_rating,shot_selection_balance,source_season_label,source_date
Florida St,0.259,florida st,0.506,0.494,0.551,0.331,0.523,73.3,109.60000000000001,106.3,0.149,0.525,0.293,3.3000000000000114,0.247,2025,2026-03-18
Fordham,0.201,fordham,0.38299999999999995,0.617,0.519,0.289,0.486,66.2,102.0,100.2,0.168,0.524,0.33299999999999996,1.7999999999999972,0.18199999999999994,2025,2026-03-18
Fresno St,0.24600000000000002,fresno st,0.409,0.591,0.523,0.321,0.506,70.8,102.2,103.8,0.17800000000000002,0.499,0.253,-1.5999999999999943,0.16299999999999995,2025,2026-03-18
Furman,0.23600000000000002,furman,0.46299999999999997,0.537,0.59,0.33299999999999996,0.5479999999999999,68.8,109.1,104.89999999999999,0.174,0.558,0.295,4.200000000000003,0.22699999999999995,2025,2026-03-18
G Washington,0.259,g washington,0.467,0.5329999999999999,0.565,0.35,0.546,71.6,113.9,104.4,0.17600000000000002,0.551,0.35200000000000004,9.5,0.20800000000000002,2025,2026-03-18
Gardner-Webb,0.218,gardner webb,0.39799999999999996,0.602,0.486,0.31,0.478,72.2,91.60000000000001,120.0,0.19399999999999998,0.41,0.207,-28.39999999999999,0.17999999999999997,2025,2026-03-18
George Mason,0.297,george mason,0.35200000000000004,0.648,0.5429999999999999,0.33299999999999996,0.527,66.3,110.00000000000001,102.60000000000001,0.154,0.499,0.29100000000000004,7.400000000000006,0.05500000000000005,2025,2026-03-18
Georgetown,0.273,georgetown,0.35200000000000004,0.648,0.507,0.318,0.496,69.3,106.2,105.2,0.154,0.578,0.314,1.0,0.07900000000000001,2025,2026-03-18
Georgia,0.276,georgia,0.439,0.561,0.573,0.341,0.546,76.5,117.30000000000001,103.4,0.139,0.482,0.32899999999999996,13.900000000000006,0.16299999999999998,2025,2026-03-18
Georgia So,0.29,georgia so,0.489,0.511,0.527,0.33399999999999996,0.514,74.0,108.0,108.60000000000001,0.142,0.411,0.262,-0.6000000000000085,0.199,2025,2026-03-18
Georgia St,0.272,georgia st,0.424,0.5760000000000001,0.429,0.306,0.442,70.9,96.5,106.4,0.155,0.506,0.248,-9.900000000000006,0.15199999999999997,2025,2026-03-18
Georgia Tech,0.24100000000000002,georgia tech,0.332,0.6679999999999999,0.48700000000000004,0.35100000000000003,0.5,73.9,99.8,104.69999999999999,0.18100000000000002,0.599,0.264,-4.8999999999999915,0.091,2025,2026-03-18
Gonzaga,0.23800000000000002,gonzaga,0.31,0.69,0.5870000000000001,0.34,0.563,72.2,117.9,91.4,0.134,0.567,0.342,26.5,0.07199999999999998,2025,2026-03-18
Grambling,0.28,grambling,0.381,0.619,0.489,0.32299999999999995,0.488,70.9,97.3,100.4,0.207,0.516,0.284,-3.1000000000000085,0.10099999999999998,2025,2026-03-18
Grand Canyon,0.282,grand canyon,0.389,0.611,0.542,0.318,0.517,70.1,107.80000000000001,97.89999999999999,0.174,0.496,0.312,9.90000000000002,0.10700000000000004,2025,2026-03-18
Green Bay,0.297,green bay,0.373,0.627,0.55,0.364,0.5489999999999999,66.8,110.60000000000001,113.5,0.156,0.545,0.226,-2.8999999999999915,0.07600000000000001,2025,2026-03-18
Hampton,0.284,hampton,0.371,0.629,0.47100000000000003,0.28800000000000003,0.457,68.9,98.7,104.69999999999999,0.165,0.489,0.289,-5.999999999999986,0.08700000000000002,2025,2026-03-18
Harvard,0.193,harvard,0.402,0.598,0.54,0.34700000000000003,0.532,66.2,105.4,101.69999999999999,0.171,0.561,0.248,3.700000000000017,0.20900000000000002,2025,2026-03-18
Hawai'i,0.295,hawai i,0.397,0.603,0.55,0.316,0.52,74.5,105.69999999999999,94.39999999999999,0.185,0.499,0.29100000000000004,11.299999999999997,0.10200000000000004,2025,2026-03-18
High Point,0.317,high point,0.429,0.5710000000000001,0.5710000000000001,0.344,0.547,73.2,118.10000000000001,98.1,0.127,0.527,0.307,20.000000000000014,0.11199999999999999,2025,2026-03-18
Hofstra,0.243,hofstra,0.431,0.569,0.486,0.368,0.515,67.8,109.89999999999999,99.7,0.157,0.485,0.336,10.199999999999989,0.188,2025,2026-03-18
Holy Cross,0.237,holy cross,0.373,0.627,0.504,0.325,0.498,67.0,101.29999999999998,111.5,0.15,0.447,0.192,-10.200000000000017,0.136,2025,2026-03-18
Hou Christian,0.257,hou christian,0.365,0.635,0.509,0.317,0.49700000000000005,66.5,99.7,108.89999999999999,0.184,0.587,0.27399999999999997,-9.199999999999989,0.10799999999999998,2025,2026-03-18
Houston,0.213,houston,0.408,0.5920000000000001,0.519,0.349,0.521,67.2,114.8,93.5,0.126,0.529,0.344,21.299999999999997,0.19499999999999998,2025,2026-03-18
Howard,0.303,howard,0.34299999999999997,0.657,0.498,0.35200000000000004,0.508,71.7,105.1,95.3,0.18899999999999997,0.606,0.332,9.799999999999997,0.03999999999999998,2025,2026-03-18
Idaho,0.26,idaho,0.46799999999999997,0.532,0.52,0.345,0.519,71.5,107.3,103.60000000000001,0.146,0.445,0.255,3.6999999999999886,0.20799999999999996,2025,2026-03-18
Idaho St,0.272,idaho st,0.419,0.581,0.529,0.336,0.518,68.3,107.80000000000001,113.5,0.16699999999999998,0.47,0.316,-5.699999999999989,0.14699999999999996,2025,2026-03-18
Illinois,0.254,illinois,0.507,0.493,0.5820000000000001,0.34700000000000003,0.551,68.5,123.2,101.89999999999999,0.13,0.512,0.384,21.30000000000001,0.253,2025,2026-03-18
